phase,lag,mean,p_value,ci_low,ci_high,n
1,0,-0.07613573997953593,0.1672,-0.1834597082161028,0.028941908004108157,10200
1,1,0.02342784914073087,0.6634,-0.07839993524444185,0.12998958915831058,10125
1,2,-0.015015290402295699,0.7776,-0.11930654236433526,0.09089743121788442,10025
1,3,-0.02350339844765832,0.6616,-0.12938618766293355,0.07948694494700903,9925
1,4,0.001601181191448444,0.9798,-0.10438220038639187,0.11011038413414873,9800
1,5,0.08292936780024866,0.138,-0.027196399573571155,0.19150123931593788,9650
1,6,0.16577032422809257,0.0034,0.05537169111800934,0.27660108742487854,9475
1,7,0.19435849755778226,0.0006,0.08400813634794319,0.3035685970176135,9325
1,8,0.31480643828722343,0.0,0.20539225732631386,0.42622459686015646,9175
1,9,0.389435646060462,0.0,0.27426069019885824,0.501932691132342,9075
1,10,0.37791342847344034,0.0,0.2618508098415333,0.4952473028938199,8975
1,11,0.30584911423784544,0.0,0.18986847631280962,0.4235482513144198,8850
1,12,0.18083026482075593,0.0016,0.06010960442500208,0.2966293487909418,8750
1,13,0.06729964540743026,0.2586,-0.04923263919861741,0.1830837104530702,8625
1,14,0.09088171251549874,0.1208,-0.02263107232886936,0.20484221518578605,8550
1,15,0.159322657740087,0.0076,0.0421334391054487,0.2776786065273176,8475
1,16,0.12488137851935888,0.0368,0.005985932162907379,0.24468191249158233,8350
1,17,0.16755779686072214,0.0056,0.04779968984185719,0.2837351072182918,8250
1,18,0.21206786331353475,0.0004,0.0936179844885953,0.3320141700887854,8100
1,19,0.23457854369969816,0.0002,0.11303650048893706,0.352382778148923,7950
1,20,0.14073048633309457,0.025,0.019596025460742038,0.26157103209976834,7775
1,21,0.0832558729186485,0.1768,-0.0367312391440281,0.20409440967840067,7600
1,22,0.04380546069733413,0.4876,-0.08012915272939045,0.168113434507105,7500
1,23,-0.04951538656881043,0.4438,-0.1749103580145735,0.07473694745178065,7400
1,24,-0.10099096374048872,0.1164,-0.22720652606516964,0.025998350709287094,7350
1,25,-0.22524083549463167,0.0008,-0.3546260982361359,-0.10249619904994844,7300
