phase,lag,mean,p_value,ci_low,ci_high,n
1,0,-0.2339858626996493,0.0018,-0.35152589297075,-0.11392609049510898,6400
1,1,-0.24534179251219673,0.001,-0.3635775956769531,-0.12338057251283759,6325
1,2,-0.1650464400099238,0.0316,-0.28608308604744104,-0.044342372443641524,6275
1,3,-0.10254329105561526,0.2008,-0.23049846097086818,0.019322482498797183,6225
1,4,0.0473447581026732,0.5658,-0.08022934803215695,0.17275193585899518,6175
1,5,0.16331423929114114,0.038,0.04002784366810533,0.28721040468698417,6150
1,6,0.17845347755856214,0.0228,0.05868540063412071,0.3041393569835403,6125
1,7,0.19276801932538082,0.012,0.062118673217108435,0.3242356697025804,6100
1,8,0.18873944162774076,0.0178,0.06287586210348439,0.31395460697398825,6075
1,9,0.05349551403760415,0.534,-0.0709198561206321,0.1784763424852788,6050
1,10,-0.16921050582238084,0.0322,-0.2907683770219217,-0.042196088464575864,6025
1,11,-0.22218279358344797,0.0022,-0.3471057395771312,-0.09553640742220657,5975
1,12,-0.0846228387967566,0.3,-0.20727871840235462,0.03940731479304097,5925
1,13,0.05025042964268561,0.5748,-0.07440612039222118,0.17585500230276396,5900
1,14,0.2215610250795378,0.0054,0.0946954039628889,0.3504366655452554,5825
1,15,0.33333831182463614,0.0,0.20260807499950956,0.4657055547672779,5775
1,16,0.3866359046528032,0.0,0.25662382773112125,0.5134777139769207,5725
1,17,0.3061944716266488,0.0,0.18289147864941613,0.4302359821883126,5675
1,18,0.24479853868235774,0.0018,0.1169324786251169,0.37144810691868574,5600
1,19,0.15454405321546627,0.0636,0.02696479345159953,0.28219085093590845,5500
1,20,0.05322242128030193,0.5402,-0.07540634815584978,0.18392787927267554,5350
1,21,-0.03306858129128412,0.7142,-0.16699603955984765,0.1017804331837724,5225
1,22,-0.22257824582817784,0.0072,-0.3580278554685925,-0.08714735922695235,5150
1,23,-0.2927974354542394,0.0004,-0.43015792847804457,-0.15786853516806604,5075
1,24,-0.1307551044906643,0.1292,-0.2674798362504028,0.002292383618413461,5025
1,25,-0.034276914406609856,0.703,-0.17043881786126086,0.10179275357818415,4975
1,26,-0.04782747912756388,0.592,-0.1813245022032034,0.08377043613752529,4925
1,27,-0.04880232742992905,0.5686,-0.1889991049552034,0.08464917578605949,4875
1,28,-0.09720391806102029,0.2776,-0.2339460716417309,0.04218422203602585,4800
1,29,-0.10794510357516021,0.2248,-0.25077511195397234,0.03290906881497193,4650
1,30,-0.11571447074198725,0.2092,-0.25929621176184037,0.02708534850710654,4500
1,31,-0.04381208635014192,0.6404,-0.18443168026860565,0.10022824697473356,4425
1,32,0.07037833149365275,0.4438,-0.07163321191269545,0.21497624708794547,4325
1,33,-0.017592370096407062,0.8472,-0.16149701287829163,0.1255026133045637,4275
1,34,-0.15058061393604721,0.1028,-0.29451190662706506,-0.010100152911549727,4225
1,35,-0.2328786468521834,0.01,-0.3794455031887643,-0.0868620716824333,4150
1,36,-0.06701414798675015,0.4698,-0.2194094999244398,0.08810845067740751,4100
1,37,0.01077882616616477,0.9038,-0.12685463037455535,0.15065127557663777,4025
1,38,0.007807337916316064,0.9332,-0.12805545739635493,0.14285866314547468,3875
1,39,0.07498925119823054,0.4348,-0.07154882459765556,0.21998278540741406,3750
1,40,-0.0020884148400322658,0.9794,-0.15298170916074186,0.15165996532621903,3625
1,41,-0.1785922968809773,0.0732,-0.3321566943455746,-0.02688961786812971,3500
1,42,-0.20462049636011415,0.0378,-0.37117509633801954,-0.03821447760394308,3375
1,43,-0.08277930649143851,0.4304,-0.2518454894409727,0.09086415259335069,3225
1,44,0.1904897630212399,0.0688,0.012058358085252106,0.3673982676301913,3075
1,45,0.5408333369760857,0.0,0.35174601119312543,0.7266421172454929,2925
1,46,0.4749726262173832,0.0,0.29269409919691936,0.6682955980435822,2800
1,47,0.37910547210584117,0.0006,0.1898731934046756,0.5616869862107419,2650
1,48,0.3812316741713576,0.0012,0.19729607354860557,0.5788336125730872,2575
1,49,0.27407746587711707,0.018,0.08489570979999536,0.4714443494337721,2500
1,50,0.3111180369797073,0.0046,0.12492414298288118,0.496165372650004,2450
1,51,0.19772322411902038,0.077,0.013149628649187022,0.3834661024270667,2400
1,52,-0.04133599977666766,0.7142,-0.2286854749090267,0.15024728412893945,2350
1,53,-0.15408463826689323,0.1874,-0.3473733947863416,0.04541031021148417,2275
1,54,-0.06012867986087098,0.619,-0.256172776758218,0.1441368258429437,2175
1,55,-0.09751983957657545,0.4302,-0.3013315769574124,0.11122049295376048,2050
1,56,-0.06388400358406345,0.6126,-0.2696016999786968,0.1432349167818026,1975
1,57,0.1970821058784725,0.1272,-0.022853739355758653,0.4183447697674217,1875
1,58,0.3587999202120624,0.0044,0.13984287212833854,0.574682641492937,1825
1,59,0.19616077626192352,0.1328,-0.027420720380636223,0.41996805064968007,1775
1,60,-0.014556659841750355,0.9132,-0.22870633490385814,0.20529757604629123,1775
2,0,-0.12338913644037847,0.0926,-0.2385536827550149,-0.003436930704578841,7375
