phase,lag,mean,p_value,ci_low,ci_high,n
1,0,-0.3090495445140417,0.2798,-0.8688149124179841,0.2443490664675131,280
1,1,-0.6561420032216545,0.0208,-1.2068698304682277,-0.11263967114479274,280
1,2,-0.7757566781652157,0.0054,-1.3324376107112044,-0.25738111505484645,280
1,3,-0.7770160535186638,0.006,-1.3088132973673978,-0.2141208548150617,280
1,4,-0.5767644039862755,0.044,-1.1349312454078029,-0.0017295630955684244,280
1,5,-0.2406746775734045,0.3986,-0.8186487977340711,0.3665723186007871,280
1,6,0.040930110724699785,0.8926,-0.5514766479556683,0.6405468906589779,280
1,7,0.4501038794217452,0.1128,-0.16384841937388278,1.049205525959727,280
1,8,0.4993473433768445,0.0756,-0.10782707839396183,1.094037344149291,280
1,9,0.40447156359909103,0.151,-0.18525873784798658,1.0204934867754079,280
1,10,0.11162103462870306,0.6904,-0.4607492278478115,0.6913282315499731,280
1,11,-0.20276786920496156,0.478,-0.7946922907933723,0.3952718591890675,280
1,12,-0.16147781077521586,0.557,-0.7567945130064327,0.45920594942109366,280
1,13,-0.20584524050834227,0.4592,-0.7948918059672996,0.38327137247124893,280
1,14,-0.4951964985674604,0.0844,-1.060722295673284,0.0891952919258544,280
1,15,-0.6316315208129953,0.0258,-1.1760851675152193,-0.0660228953081396,280
1,16,-0.4018459543186705,0.1588,-0.9585384670892894,0.16933318045093018,280
1,17,-0.052349778668078224,0.8562,-0.6237514742349156,0.51775216633391,280
1,18,0.07754813551486893,0.7768,-0.49270433705752537,0.6715201466874887,280
1,19,0.2487328282511139,0.3794,-0.3008453129890825,0.8213010071864676,280
1,20,0.49715436387682793,0.0864,-0.07591271191014641,1.0874875365905572,280
1,21,0.29873547401535827,0.2964,-0.2780138078039609,0.8845548330273979,280
1,22,-0.07679620565984613,0.7912,-0.6635168903225303,0.5064016327442012,280
1,23,-0.5808761018286258,0.0442,-1.1587785860458573,0.016204814814708188,280
1,24,-0.8250829028778396,0.0046,-1.368429644209189,-0.2581520899660012,280
1,25,-0.6860671028656837,0.016,-1.2440234635742415,-0.13502688404804425,280
1,26,-0.47193829104648466,0.0986,-1.0814556750454867,0.13039530289675527,280
1,27,-0.4835717780520442,0.0894,-1.0948962146614367,0.16033212107646858,280
1,28,-0.30801369069577017,0.2886,-0.9601989011757629,0.3631333940326731,280
1,29,-0.024364792054934043,0.9316,-0.6550439687344932,0.6239700258733047,280
1,30,0.37219900597944666,0.1842,-0.22657042256417306,0.9911010776048519,280
1,31,0.3066039599552733,0.2764,-0.26179000719442913,0.8818813550040286,280
1,32,0.06254610754768447,0.814,-0.49924156057197333,0.6453325242050505,280
1,33,-0.007626944919210236,0.9742,-0.5611303904578844,0.5102065626098237,280
1,34,-0.011028172498860503,0.9688,-0.548760855917563,0.5093293971159489,280
1,35,0.04508488775136032,0.8806,-0.5012317079401774,0.5868623012105286,280
1,36,0.0034302906627284003,0.9906,-0.5485528508067401,0.5467390015382894,280
1,37,-0.1542441106943129,0.5766,-0.7006945552661548,0.38063121881727346,280
1,38,-0.25384027370835965,0.3686,-0.7962931493131266,0.28864254471700307,280
1,39,-0.265901794301798,0.35,-0.8320950256676554,0.29822561504548106,280
1,40,-0.24096266844488679,0.3978,-0.801686717291964,0.30317495246952414,280
1,41,-0.12468316590923817,0.6616,-0.6695452436578537,0.4546507908683216,280
1,42,-0.055275994871458775,0.8382,-0.6344761998433608,0.518963383315668,280
1,43,-0.033144225640265014,0.901,-0.5909525136701217,0.523799810924117,280
1,44,-0.31029522514102764,0.2702,-0.8278800916595598,0.23510513531620866,280
1,45,-0.7442892683652821,0.009,-1.2843646314584765,-0.2212609978007915,280
1,46,-0.9944698411094842,0.0006,-1.5500861090674776,-0.40855657388441247,280
1,47,-0.8592269796079943,0.0036,-1.4558434342211315,-0.3036880995003579,280
1,48,-0.7251390606218084,0.0096,-1.294367867536709,-0.1491880230029112,280
1,49,-0.7489470219890968,0.008,-1.3505587844295028,-0.14071302601156566,280
1,50,-0.8420916706281805,0.0032,-1.407370409290363,-0.2618545925009289,280
1,51,-1.0016263546037998,0.0002,-1.5749263120568455,-0.43495583196764676,280
1,52,-1.2403551069394643,0.0002,-1.8101811966684043,-0.6753075610582009,280
1,53,-1.2154070823985652,0.0,-1.7798385595024688,-0.6414395816190855,280
1,54,-1.069833031723335,0.0002,-1.6688412054784967,-0.4832367060652506,280
1,55,-0.7322159854644661,0.0088,-1.324178865540305,-0.14008128015102134,280
1,56,-0.7205839784322453,0.011,-1.3332397701517196,-0.10825579303959883,280
1,57,-0.856450074682939,0.0026,-1.463669904925132,-0.24897319142014881,280
1,58,-0.7347576279202652,0.0098,-1.3177339241109456,-0.11408072312777091,280
1,59,-0.6085341217271248,0.0334,-1.2295575806387193,0.0022781101689059472,280
1,60,-0.5116551179839283,0.07,-1.1085609855711263,0.07698110489001946,280
2,0,-0.5355632832472124,0.0476,-1.0450936335737226,0.011882549816088257,312
2,1,-0.4250195349014207,0.1118,-0.964675731105422,0.11547003196885351,312
2,2,-0.2680359105815624,0.3102,-0.8188419751366727,0.2987356660468802,312
2,3,-0.14892019197638043,0.5892,-0.715005132973618,0.40592593859291437,312
2,4,-0.023254023636914496,0.9274,-0.5859508987314678,0.5268617774891107,312
2,5,-0.02222957179808141,0.9352,-0.5919422770380521,0.5510057751123678,312
2,6,-0.16180301741042613,0.543,-0.7359666630007494,0.4030587264407297,312
2,7,-0.2417742191093418,0.3678,-0.8214069486349721,0.3619530817886109,312
2,8,-0.17675193792326474,0.5094,-0.7234227775775498,0.39112098728893147,312
2,9,-0.15288989398227612,0.567,-0.6923791521075406,0.39417693162609724,312
2,10,0.017378257736902755,0.9484,-0.5146531865728322,0.598685445269442,312
2,11,0.11114613379689449,0.6842,-0.43748634090178995,0.6894104405841406,312
2,12,-0.06351040054420692,0.813,-0.6084436437543743,0.47464564606868526,312
2,13,0.04003812371837364,0.8822,-0.5121891072374336,0.5987442790823236,312
2,14,8.144280912348041e-07,1.0,-0.5491765023356615,0.5878780079617444,312
2,15,-0.11410484859388403,0.6708,-0.6878181856283433,0.44790279226930385,312
2,16,-0.1521232653040068,0.5896,-0.7083908577157175,0.41646115471776535,312
2,17,-0.013685764297347632,0.9594,-0.5610030687998505,0.5411358888680343,312
2,18,-0.09777935272492144,0.7202,-0.6557197652065654,0.45424339254616886,312
2,19,-0.17863304762564697,0.512,-0.7512261193086557,0.4064727037160786,312
2,20,-0.2783119980406501,0.2966,-0.8600729383503265,0.27042091861373113,312
2,21,-0.2861193096661068,0.2782,-0.8384261784644786,0.2752302756947827,312
2,22,-0.15573577316090953,0.5682,-0.7162116283010102,0.41055662384662306,312
2,23,-0.07905768434881576,0.77,-0.6202057049639337,0.48675485909141847,312
2,24,-0.09964953662992752,0.715,-0.6827891449063069,0.4886936088308186,312
2,25,0.04942657620826779,0.8502,-0.5629097830931123,0.6715231747838308,312
2,26,0.3227540752656652,0.2316,-0.25322940835955143,0.9082755520960757,312
2,27,0.5921006123923738,0.03,0.02534373856711222,1.1437179367611876,312
2,28,0.6644826084077982,0.0174,0.11942178034171742,1.2089086555704935,312
2,29,0.4638464393539194,0.0886,-0.09027511485318633,1.0176929128676537,312
2,30,-0.06797120247540935,0.803,-0.6155489580252818,0.48992653675226666,312
2,31,-0.33999632106184247,0.214,-0.8973442401026362,0.23304428775345004,312
2,32,-0.27223039149611356,0.323,-0.827764410445121,0.29489033820357197,312
2,33,-0.2765718678659355,0.3128,-0.8307553729003865,0.28944469534759937,312
2,34,-0.33600558704252775,0.214,-0.8848700628877441,0.22484356134259176,312
2,35,-0.6705838250151803,0.0148,-1.1947010508968434,-0.1313422808932109,312
2,36,-0.6810024894422719,0.0082,-1.230060851921118,-0.11061376040040012,312
2,37,-0.6381364176127781,0.017,-1.2059712261869289,-0.07483042258193605,312
2,38,-0.842964368788395,0.0014,-1.3909205462313385,-0.29675254723044664,312
2,39,-0.9738075483492542,0.0,-1.5013137173236166,-0.4349374189278596,312
